symbol,ensembl_gene_id
PDIA6,ENSG00000143870.12
CLDN4,ENSG00000189143.9
COX6B1,ENSG00000126267.8
COX7A2,ENSG00000112695.11
COL6A3,ENSG00000163359.15
EIF4H,ENSG00000106682.14
HNRNPUL1,ENSG00000105323.16
HDGF,ENSG00000143321.18
BRI3,ENSG00000164713.9
GUK1,ENSG00000143774.16
TIMP1,ENSG00000102265.11
SERBP1,ENSG00000142864.14
NDUFS6,ENSG00000145494.11
HSPA5,ENSG00000044574.7
COX8A,ENSG00000176340.3
COPZ1,ENSG00000111481.9
ATP5MF,
ERGIC3,ENSG00000125991.19
ATP5IF1,
CDH1,ENSG00000039068.18
ANXA2,ENSG00000182718.16
EDF1,ENSG00000107223.12
BSG,ENSG00000172270.18
SPINT2,ENSG00000167642.12
MIF,ENSG00000240972.1
CEACAM5,ENSG00000105388.15
HDLBP,ENSG00000115677.16
COX4I1,ENSG00000131143.8
MYL9,ENSG00000101335.9
PHGR1,ENSG00000233041.8
ATP5MG,
CD81,ENSG00000110651.11
ILF3,ENSG00000129351.17
CLDN7,ENSG00000181885.18
MYC,ENSG00000136997.16
EIF4G2,ENSG00000110321.16
EIF4A2,ENSG00000156976.16
EIF3A,ENSG00000107581.12
HIST1H4C,ENSG00000197061.4
PPIB,ENSG00000166794.4
FXYD3,ENSG00000089356.18
PCBP1,ENSG00000169564.6
CTNNB1,ENSG00000168036.16
MICOS10,
PTMS,ENSG00000159335.15
CYCS,ENSG00000172115.8
IL32,ENSG00000008517.16
GNB1,ENSG00000078369.17
HMGA1,ENSG00000137309.19
PA2G4,ENSG00000170515.13
COX5B,ENSG00000135940.6
COX6C,ENSG00000164919.10
SRRM2,ENSG00000167978.16
PLEC,ENSG00000178209.14
HMGB1,ENSG00000189403.14
TFF3,ENSG00000160180.15
UBB,ENSG00000170315.13
XBP1,ENSG00000100219.16
PRRC2C,ENSG00000117523.15
SOD1,ENSG00000142168.14
CCNI,ENSG00000118816.9
EIF3M,ENSG00000149100.12
POLR2L,ENSG00000177700.5
TOMM7,ENSG00000196683.10
ATP5PD,
TTC3,ENSG00000182670.13
ARPC3,ENSG00000111229.15
LAMTOR4,ENSG00000188186.10
GABARAP,ENSG00000170296.9
NOP53,
C19orf33,ENSG00000167644.11
TLE5,
RAB5IF,
CST3,ENSG00000101439.8
GPX2,ENSG00000176153.11
CAPZA2,ENSG00000198898.13
SNRPD1,ENSG00000167088.10
CMPK1,ENSG00000162368.13
FCGRT,ENSG00000104870.12
CDK4,ENSG00000135446.16
UQCRQ,ENSG00000164405.10
CALR,ENSG00000179218.13
NUTF2,ENSG00000102898.11
ELF3,ENSG00000163435.15
NDUFS5,ENSG00000168653.10
DBI,ENSG00000155368.16
PRELID3B,ENSG00000101166.15
ACTR3,ENSG00000115091.11
ARPC1B,ENSG00000130429.12
S100A14,ENSG00000189334.8
HNRNPA2B1,ENSG00000122566.20
CDC42EP5,ENSG00000167617.2
CNBP,ENSG00000169714.16
HSPA1B,ENSG00000204388.6
CCT3,ENSG00000163468.14
PARK7,ENSG00000116288.12
SET,ENSG00000119335.16
CD74,ENSG00000019582.14
PDIA4,ENSG00000155660.10
CLDN3,ENSG00000165215.6
LGALS1,ENSG00000100097.11
MLEC,ENSG00000110917.7
TMBIM6,ENSG00000139644.12
TKT,ENSG00000163931.15
LGALS3,ENSG00000131981.15
ACTA2,ENSG00000107796.13
GPI,ENSG00000105220.14
LSR,ENSG00000105699.16
CSTB,ENSG00000160213.6
CTSB,ENSG00000164733.20
GOLM1,ENSG00000135052.16
DDR1,ENSG00000204580.13
PSMB4,ENSG00000159377.10
PEBP1,ENSG00000089220.4
MMP14,ENSG00000157227.12
SNRNP70,ENSG00000104852.14
HIST1H4D,ENSG00000277157.1
BANF1,ENSG00000175334.7
ARF4,ENSG00000168374.10
DDX5,ENSG00000108654.13
C1R,ENSG00000159403.15
CD9,ENSG00000010278.12
NDUFB7,ENSG00000099795.6
ASPH,ENSG00000198363.17
CTSZ,ENSG00000101160.13
ANXA11,ENSG00000122359.17
MARCKSL1,ENSG00000175130.6
DCN,ENSG00000011465.16
FAM120A,ENSG00000048828.16
PSMA7,ENSG00000101182.14
YWHAQ,ENSG00000134308.13
PSMB1,ENSG00000008018.8
NUCKS1,ENSG00000069275.12
NDUFA13,ENSG00000186010.18
SDHA,ENSG00000073578.16
TCP1,ENSG00000120438.11
SELENOH,ENSG00000211450.9
CIRBP,ENSG00000099622.13
VIM,ENSG00000026025.15
LRP10,ENSG00000197324.8
ARPC4,ENSG00000241553.12
RAD23A,ENSG00000179262.9
SCD,ENSG00000099194.5
IFITM2,ENSG00000185201.16
C4orf3,ENSG00000164096.12
NBL1,ENSG00000158747.13
CD164,ENSG00000135535.15
SND1,ENSG00000197157.10
ITGA6,ENSG00000091409.14
SEM1,ENSG00000127922.9
IER3,ENSG00000137331.11
BGN,ENSG00000182492.15
LAMP1,ENSG00000185896.10
TAGLN,ENSG00000149591.16
COPE,ENSG00000105669.13
EIF3G,ENSG00000130811.11
CALM3,ENSG00000160014.16
AEBP1,ENSG00000106624.10
G3BP2,ENSG00000138757.14
LMNA,ENSG00000160789.19
ZFP36L2,ENSG00000152518.7
FKBP8,ENSG00000105701.15
CD99,ENSG00000002586.18
CD99,ENSG00000002586.18_PAR_Y
PTK2,ENSG00000169398.19
PPM1G,ENSG00000115241.10
MGAT4B,ENSG00000161013.16
CD44,ENSG00000026508.17
NHP2,ENSG00000145912.8
PLSCR1,ENSG00000188313.12
FERMT1,ENSG00000101311.15
HNRNPC,ENSG00000092199.17
MMP2,ENSG00000087245.12
ATP5MC2,
ST14,ENSG00000149418.10
ROMO1,ENSG00000125995.15
ASS1,ENSG00000130707.17
KDELR2,ENSG00000136240.9
RPN2,ENSG00000118705.16
ARHGDIA,ENSG00000141522.11
P4HB,ENSG00000185624.14
CANX,ENSG00000127022.14
PDCD6,ENSG00000249915.7
CAPN1,ENSG00000014216.15
ETS2,ENSG00000157557.11
COPG1,ENSG00000181789.14
AZIN1,ENSG00000155096.13
PLXNB2,ENSG00000196576.14
TFDP1,ENSG00000198176.12
PFDN5,ENSG00000123349.13
PSMB2,ENSG00000126067.11
GADD45GIP1,ENSG00000179271.2
GOLPH3,ENSG00000113384.13
POLR1D,ENSG00000186184.16
PHPT1,ENSG00000054148.17
OS9,ENSG00000135506.15
ERH,ENSG00000100632.10
INF2,ENSG00000203485.12
DDX21,ENSG00000165732.12
BRK1,ENSG00000254999.3
TM9SF3,ENSG00000077147.14
NDUFA1,ENSG00000125356.6
LAD1,ENSG00000159166.13
TMEM238,ENSG00000233493.3
RTN4,ENSG00000115310.17
GPRC5A,ENSG00000013588.7
PPP1R1B,ENSG00000131771.13
EIF6,ENSG00000242372.6
NCKAP1,ENSG00000061676.14
RTRAF,
ARF3,ENSG00000134287.9
AURKAIP1,ENSG00000175756.13
HNRNPA0,ENSG00000177733.6
PRR13,ENSG00000205352.10
PGD,ENSG00000142657.20
ARL6IP4,ENSG00000182196.13
SULF1,ENSG00000137573.13
WDR1,ENSG00000071127.16
HINT1,ENSG00000169567.11
TAF10,ENSG00000166337.9
DDX39B,ENSG00000198563.13
HNRNPAB,ENSG00000197451.11
PPP2R5C,ENSG00000078304.19
SYNGR2,ENSG00000108639.7
PGAM1,ENSG00000171314.8
USF2,ENSG00000105698.15
TAPBP,ENSG00000231925.11
CLTB,ENSG00000175416.12
TUFM,ENSG00000178952.10
PCBP2,ENSG00000197111.15
SIVA1,ENSG00000184990.12
UQCR11,ENSG00000127540.11
IQGAP1,ENSG00000140575.12
ERP29,ENSG00000089248.6
SLC38A1,ENSG00000111371.15
SLC25A39,ENSG00000013306.15
GSN,ENSG00000148180.19
ATP5ME,
APLP2,ENSG00000084234.16
AHSA1,ENSG00000100591.7
DDX17,ENSG00000100201.20
HIST1H1B,ENSG00000184357.4
TPD52,ENSG00000076554.15
TMED9,ENSG00000184840.11
IFNGR2,ENSG00000159128.14
EBPL,ENSG00000123179.13
JTB,ENSG00000143543.14
AP2M1,ENSG00000161203.13
TXNL4A,ENSG00000141759.14
BCAP31,ENSG00000185825.15
HLA-E,ENSG00000204592.8
TMEM54,ENSG00000121900.18
FUS,ENSG00000089280.18
ATP5F1D,
SLIRP,ENSG00000119705.9
ZDHHC20,ENSG00000180776.15
BAG1,ENSG00000107262.18
RALY,ENSG00000125970.11
AIDA,ENSG00000186063.12
STARD10,ENSG00000214530.8
CCN2,
SMARCE1,ENSG00000073584.18
BCL2L1,ENSG00000171552.12
SDF4,ENSG00000078808.16
ETHE1,ENSG00000105755.7
HIST1H4A,ENSG00000278637.1
MYH14,ENSG00000105357.15
EIF4G1,ENSG00000114867.20
GTF3C6,ENSG00000155115.6
ATP8B1,ENSG00000081923.11
TMEM230,ENSG00000089063.14
MAL2,ENSG00000147676.13
MAL2,ENSG00000253972.5
HIST1H3H,ENSG00000278828.1
ACSL5,ENSG00000197142.10
AP2S1,ENSG00000042753.11
CCT5,ENSG00000150753.11
TRIM28,ENSG00000130726.11
PDCD5,ENSG00000105185.11
APH1A,ENSG00000117362.12
RBM39,ENSG00000131051.22
MAP2K2,ENSG00000126934.13
TUBA4A,ENSG00000127824.13
SHISA5,ENSG00000164054.15
SEL1L3,ENSG00000091490.10
BZW1,ENSG00000082153.17
PRDX5,ENSG00000126432.13
GPX4,ENSG00000167468.16
MCL1,ENSG00000143384.12
MT2A,ENSG00000125148.6
JPT1,
TMEM258,ENSG00000134825.15
LASP1,ENSG00000002834.17
CHMP4B,ENSG00000101421.3
CAST,ENSG00000153113.23
CAPZB,ENSG00000077549.17
VDAC3,ENSG00000078668.13
HIST1H3D,ENSG00000197409.7
LYZ,ENSG00000090382.6
POLR2F,ENSG00000100142.14
FLII,ENSG00000177731.15
PPP2CB,ENSG00000104695.12
DYNLL1,ENSG00000088986.10
HP1BP3,ENSG00000127483.17
XRCC5,ENSG00000079246.15
VDAC2,ENSG00000165637.13
DDX3X,ENSG00000215301.9
EIF2S3,ENSG00000130741.10
ERO1A,ENSG00000197930.12
MTDH,ENSG00000147649.9
TRIM2,ENSG00000109654.14
CLPTM1L,ENSG00000049656.13
SSR4,ENSG00000180879.13
PSME1,ENSG00000092010.14
TRAP1,ENSG00000126602.10
THOC7,ENSG00000163634.11
PRRC2B,ENSG00000130723.18
POLD2,ENSG00000106628.10
PNRC2,ENSG00000189266.11
FOS,ENSG00000170345.9
TRIR,
ARGLU1,ENSG00000134884.13
PRDX6,ENSG00000117592.8
LLGL2,ENSG00000073350.13
POSTN,ENSG00000133110.14
GIPC1,ENSG00000123159.15
DDT,ENSG00000099977.13
STRAP,ENSG00000023734.10
MXRA7,ENSG00000182534.13
ACTN1,ENSG00000072110.13
PTPRF,ENSG00000142949.16
ATF4,ENSG00000128272.14
SUCLG1,ENSG00000163541.11
TMEM59,ENSG00000116209.11
ATP1A1,ENSG00000163399.15
LUC7L3,ENSG00000108848.15
TARS,ENSG00000113407.13
MCM7,ENSG00000166508.17
MDH2,ENSG00000146701.11
CCT8,ENSG00000156261.12
HIST1H2AG,ENSG00000196787.3
ATP5F1A,
SPON2,ENSG00000159674.11
ODC1,ENSG00000115758.12
PHB2,ENSG00000215021.8
COL6A2,ENSG00000142173.14
TMEM63A,ENSG00000196187.11
TAX1BP1,ENSG00000106052.13
SDC4,ENSG00000124145.6
TIMP3,ENSG00000100234.11
PLAUR,ENSG00000011422.11
MLF2,ENSG00000089693.10
TFRC,ENSG00000072274.12
ATP5PF,
WNK1,ENSG00000060237.16
CNDP2,ENSG00000133313.14
PSMC5,ENSG00000087191.12
HIST1H2AD,ENSG00000196866.2
CHMP2A,ENSG00000130724.8
CCNL2,ENSG00000221978.11
RCC2,ENSG00000179051.13
ANP32E,ENSG00000143401.14
SEPTIN2,
EIF1,ENSG00000173812.10
VASP,ENSG00000125753.13
REXO2,ENSG00000076043.9
SH3YL1,ENSG00000035115.21
FLOT1,ENSG00000137312.14
HNRNPR,ENSG00000125944.18
ANP32B,ENSG00000136938.8
EFHD2,ENSG00000142634.12
CYC1,ENSG00000179091.4
MUC13,ENSG00000173702.7
HNRNPF,ENSG00000169813.16
ESRP1,ENSG00000104413.15
KHSRP,ENSG00000088247.17
CSNK1G2,ENSG00000133275.15
CHCHD10,ENSG00000250479.8
PSMD8,ENSG00000099341.11
SEC11A,ENSG00000140612.13
BRD2,ENSG00000204256.12
SNRPC,ENSG00000124562.9
CCT7,ENSG00000135624.15
PSMA5,ENSG00000143106.12
HSPG2,ENSG00000142798.17
C12orf57,ENSG00000111678.10
UBE2V1,ENSG00000244687.11
GATAD2A,ENSG00000167491.17
HIST1H2BN,ENSG00000233822.4
ZFP36L1,ENSG00000185650.9
TGIF1,ENSG00000177426.20
CAPNS1,ENSG00000126247.10
SOD2,ENSG00000112096.16
TRA2B,ENSG00000136527.17
XRCC6,ENSG00000196419.12
HIST1H4E,ENSG00000276966.2
ATN1,ENSG00000111676.14
COL5A1,ENSG00000130635.15
COL4A1,ENSG00000187498.14
SLC3A2,ENSG00000168003.16
SUMO1,ENSG00000116030.16
TMEM259,ENSG00000182087.12
EMC10,ENSG00000161671.16
SAT1,ENSG00000130066.16
ITGB4,ENSG00000132470.13
ATP2A2,ENSG00000174437.16
CTDSP2,ENSG00000175215.10
DNPEP,ENSG00000123992.18
SPG21,ENSG00000090487.10
LMO7,ENSG00000136153.19
SAP18,ENSG00000150459.12
HIST1H2BD,ENSG00000158373.8
SQOR,
TRMT112,ENSG00000173113.6
CYB5R3,ENSG00000100243.20
SERINC2,ENSG00000168528.11
C19orf53,ENSG00000104979.8
NDUFB2,ENSG00000090266.12
NME1,ENSG00000239672.7
TOP1,ENSG00000198900.5
RHOB,ENSG00000143878.9
CANT1,ENSG00000171302.16
PLP2,ENSG00000102007.10
NDUFB11,ENSG00000147123.10
CUTA,ENSG00000112514.15
HIST1H4H,ENSG00000158406.4
NQO1,ENSG00000181019.12
ETFB,ENSG00000105379.9
CDCA7,ENSG00000144354.13
CD151,ENSG00000177697.17
RBX1,ENSG00000100387.8
PTBP3,ENSG00000119314.15
SRSF2,ENSG00000161547.16
TSPO,ENSG00000100300.17
TOP2B,ENSG00000077097.15
MARCH6,ENSG00000145495.15
SNX3,ENSG00000112335.14
CAPN2,ENSG00000162909.17
LAPTM5,ENSG00000162511.7
CTNND1,ENSG00000198561.13
SMARCC1,ENSG00000173473.10
IGHG1,ENSG00000211896.7
JUP,ENSG00000173801.16
DDIT4,ENSG00000168209.4
CDC42EP1,ENSG00000128283.6
HNRNPUL2,ENSG00000214753.2
NDUFB10,ENSG00000140990.14
AFDN,ENSG00000130396.20
CDX1,ENSG00000113722.16
PET100,ENSG00000229833.9
UBE2Q1,ENSG00000160714.9
GTF2I,ENSG00000263001.5
CYB5B,ENSG00000103018.16
ZYX,ENSG00000159840.15
NDUFV1,ENSG00000167792.11
COA4,ENSG00000181924.6
PSMD11,ENSG00000108671.9
YIPF3,ENSG00000137207.11
TRAM1,ENSG00000067167.7
COMT,ENSG00000093010.13
MAPRE1,ENSG00000101367.8
NUCB1,ENSG00000104805.15
RAB11A,ENSG00000103769.9
CISD3,ENSG00000277972.1
USP7,ENSG00000187555.14
GDI2,ENSG00000057608.16
HDAC1,ENSG00000116478.11
KDELR1,ENSG00000105438.8
GSTK1,ENSG00000197448.13
EIF3H,ENSG00000147677.10
CCT2,ENSG00000166226.12
RUVBL2,ENSG00000183207.13
PSMD4,ENSG00000159352.15
CNN2,ENSG00000064666.14
UQCRC1,ENSG00000010256.10
MICAL2,ENSG00000133816.13
HEBP2,ENSG00000051620.10
SUMO3,ENSG00000184900.15
GREM1,ENSG00000166923.10
DNPH1,ENSG00000112667.12
TRAPPC5,ENSG00000181029.8
SSBP1,ENSG00000106028.10
GRK2,ENSG00000173020.10
HIST2H2AB,ENSG00000184270.4
HSBP1,ENSG00000230989.6
PDHA1,ENSG00000131828.13
DDX23,ENSG00000174243.9
BACE2,ENSG00000182240.15
RMND5A,ENSG00000153561.12
PRRC2A,ENSG00000204469.12
PDS5A,ENSG00000121892.14
ACLY,ENSG00000131473.16
SRSF11,ENSG00000116754.13
NDUFC1,ENSG00000109390.11
RPN1,ENSG00000163902.11
SELENOW,ENSG00000178980.14
COTL1,ENSG00000103187.7
SERPINB6,ENSG00000124570.17
UBL5,ENSG00000198258.10
SYNE2,ENSG00000054654.16
PSMA4,ENSG00000041357.15
HIST1H3G,ENSG00000273983.1
DDRGK1,ENSG00000198171.12
MPC2,ENSG00000143158.10
RAB5A,ENSG00000144566.10
RER1,ENSG00000157916.19
USP22,ENSG00000124422.11
GRSF1,ENSG00000132463.13
AKAP1,ENSG00000121057.12
MORF4L1,ENSG00000185787.14
ITM2C,ENSG00000135916.15
PPP4R2,ENSG00000163605.14
CYBA,ENSG00000051523.10
CENPX,ENSG00000169689.14
NPC2,ENSG00000119655.10
SH3BGRL3,ENSG00000142669.14
ATP6V0B,ENSG00000117410.13
RBM17,ENSG00000134453.15
RNF213,ENSG00000173821.19
KIAA1522,ENSG00000162522.10
ZBTB7A,ENSG00000178951.8
ARPC5,ENSG00000162704.15
SSR2,ENSG00000163479.13
RNF114,ENSG00000124226.10
CHPF,ENSG00000123989.13
APOE,ENSG00000130203.9
UBXN6,ENSG00000167671.11
ALDH2,ENSG00000111275.12
GANAB,ENSG00000089597.16
NDUFS8,ENSG00000110717.12
MAPK13,ENSG00000156711.16
ADNP,ENSG00000101126.15
PMEPA1,ENSG00000124225.15
LAMTOR1,ENSG00000149357.9
CDV3,ENSG00000091527.15
MPST,ENSG00000128309.16
RWDD1,ENSG00000111832.12
GALNT2,ENSG00000143641.9
EIF3B,ENSG00000106263.17
LSM4,ENSG00000130520.10
H2AFY,ENSG00000113648.16
TRIM8,ENSG00000171206.13
PSMD13,ENSG00000185627.17
ADH5,ENSG00000197894.10
TGOLN2,ENSG00000152291.13
FAM3C,ENSG00000196937.10
SLC44A1,ENSG00000070214.15
HNRNPU,ENSG00000153187.18
THBS1,ENSG00000137801.10
PGK1,ENSG00000102144.13
HLA-DRA,ENSG00000204287.13
GLG1,ENSG00000090863.11
HIST1H4B,ENSG00000278705.1
KIF1C,ENSG00000129250.11
PSMA2,ENSG00000106588.10
COL6A1,ENSG00000142156.14
HNRNPH3,ENSG00000096746.17
DNAJC7,ENSG00000168259.14
WASF2,ENSG00000158195.10
GRINA,ENSG00000178719.16
SRSF5,ENSG00000100650.15
NDUFA2,ENSG00000131495.8
EI24,ENSG00000149547.14
SF3B1,ENSG00000115524.15
EIF5,ENSG00000100664.10
H2AFV,ENSG00000105968.18
APRT,ENSG00000198931.10
PSMA1,ENSG00000129084.17
SLC12A2,ENSG00000064651.13
CAPRIN1,ENSG00000135387.20
EIF4E2,ENSG00000135930.13
EIF3K,ENSG00000178982.9
LCN2,ENSG00000148346.11
NDUFB6,ENSG00000165264.10
ARPP19,ENSG00000128989.10
PEA15,ENSG00000162734.12
ACADVL,ENSG00000072778.19
WDR82,ENSG00000164091.11
MZT1,ENSG00000204899.5
CAVIN1,
ID1,ENSG00000125968.8
SYAP1,ENSG00000169895.5
PATJ,ENSG00000132849.19
HADHA,ENSG00000084754.10
ANXA4,ENSG00000196975.15
TMEM50A,ENSG00000183726.10
COPS9,ENSG00000172428.10
FOXO3,ENSG00000118689.14
ANKRD11,ENSG00000167522.14
PLPP2,ENSG00000141934.9
KHDRBS1,ENSG00000121774.17
TCF25,ENSG00000141002.19
SF3B2,ENSG00000087365.15
UBA2,ENSG00000126261.12
ACTN4,ENSG00000130402.11
YWHAG,ENSG00000170027.6
PSMB7,ENSG00000136930.12
SAFB,ENSG00000160633.12
TNPO1,ENSG00000083312.17
RNF126,ENSG00000070423.17
DRAP1,ENSG00000175550.7
FKBP9,ENSG00000122642.10
NET1,ENSG00000173848.18
ATP5MC3,
FSTL1,ENSG00000163430.11
COMMD6,ENSG00000188243.12
SARS,ENSG00000031698.12
RAB5C,ENSG00000108774.14
SURF4,ENSG00000148248.13
ANXA5,ENSG00000164111.14
POLR2G,ENSG00000168002.11
NAPA,ENSG00000105402.7
ABCC3,ENSG00000108846.15
DSTN,ENSG00000125868.15
DNM2,ENSG00000079805.16
ABHD2,ENSG00000140526.17
TALDO1,ENSG00000177156.10
AGPAT2,ENSG00000169692.12
ARPC1A,ENSG00000241685.9
CCDC47,ENSG00000108588.13
CHCHD1,ENSG00000172586.7
BCL2L2,ENSG00000129473.9
AGO2,ENSG00000123908.11
CUL4A,ENSG00000139842.14
NDUFA11,ENSG00000174886.12
CDC34,ENSG00000099804.8
MAT2A,ENSG00000168906.12
PITPNA,ENSG00000174238.14
C1orf43,ENSG00000143612.19
S100P,ENSG00000163993.6
QARS,ENSG00000172053.17
TDP2,ENSG00000111802.13
TRA2A,ENSG00000164548.10
SRSF1,ENSG00000136450.12
S100A16,ENSG00000188643.10
ELAVL1,ENSG00000066044.14
NUPR1,ENSG00000176046.8
TBC1D9B,ENSG00000197226.12
ERBB3,ENSG00000065361.14
RSL1D1,ENSG00000171490.12
TAP1,ENSG00000168394.10
NRARP,ENSG00000198435.3
MOB1A,ENSG00000114978.17
SRPRA,ENSG00000182934.11
IMPDH2,ENSG00000178035.11
VOPP1,ENSG00000154978.12
REEP5,ENSG00000129625.12
SLC2A4RG,ENSG00000125520.13
IRAK1,ENSG00000184216.13
SOX4,ENSG00000124766.6
LMAN2,ENSG00000169223.14
NCOR2,ENSG00000196498.13
NDUFB9,ENSG00000147684.7
SNRNP200,ENSG00000144028.14
TIMM13,ENSG00000099800.7
H1FX,ENSG00000184897.5
FLNB,ENSG00000136068.14
JUNB,ENSG00000171223.5
DAZAP1,ENSG00000071626.16
CYP2S1,ENSG00000167600.13
SDCBP,ENSG00000137575.11
EIF3I,ENSG00000084623.11
VPS4A,ENSG00000132612.15
ADI1,ENSG00000182551.13
LRPAP1,ENSG00000163956.10
SSR3,ENSG00000114850.6
NIBAN2,
PYGB,ENSG00000100994.11
HNF4A,ENSG00000101076.16
PKP3,ENSG00000184363.9
TM4SF1,ENSG00000169908.11
FKBP3,ENSG00000100442.10
VEGFA,ENSG00000112715.21
RNASET2,ENSG00000026297.15
SLC39A7,ENSG00000112473.17
CCN1,
AKR1A1,ENSG00000117448.13
PNN,ENSG00000100941.8
AP3D1,ENSG00000065000.15
AXIN2,ENSG00000168646.12
CCND2,ENSG00000118971.7
STAT3,ENSG00000168610.14
SLC39A1,ENSG00000143570.17
QSOX1,ENSG00000116260.16
GLRX5,ENSG00000182512.4
TSPAN3,ENSG00000140391.14
PRDX4,ENSG00000123131.12
NAP1L4,ENSG00000205531.12
ENC1,ENSG00000171617.13
POR,ENSG00000127948.15
SRSF7,ENSG00000115875.18
WDR45B,ENSG00000141580.15
MKNK2,ENSG00000099875.14
OCIAD1,ENSG00000109180.14
VPS36,ENSG00000136100.12
UQCC3,ENSG00000204922.4
TSPAN1,ENSG00000117472.9
LENG8,ENSG00000167615.16
GNAI2,ENSG00000114353.16
JUN,ENSG00000177606.6
POLR2H,ENSG00000163882.9
FBN1,ENSG00000166147.13
CTBP1,ENSG00000159692.15
CNOT7,ENSG00000198791.11
FAM32A,ENSG00000105058.11
HIST1H2BG,ENSG00000273802.2
CEACAM1,ENSG00000079385.21
ACSL3,ENSG00000123983.13
RAB5B,ENSG00000111540.15
CSE1L,ENSG00000124207.16
HIST1H2AE,ENSG00000277075.2
C19orf48,ENSG00000167747.13
EPHB2,ENSG00000133216.16
TPX2,ENSG00000088325.15
CHMP3,ENSG00000115561.15
CD320,ENSG00000167775.10
BEX3,ENSG00000166681.13
IFNAR1,ENSG00000142166.12
LUC7L2,ENSG00000146963.17
MTCH2,ENSG00000109919.9
SAR1A,ENSG00000079332.14
SMS,ENSG00000102172.15
RABL6,ENSG00000196642.18
HPCAL1,ENSG00000115756.12
TNC,ENSG00000041982.15
KLF5,ENSG00000102554.13
LUM,ENSG00000139329.4
BST2,ENSG00000130303.12
HIST1H2BO,ENSG00000274641.1
TRAF4,ENSG00000076604.14
SON,ENSG00000159140.19
MAP7,ENSG00000135525.18
TMEM123,ENSG00000152558.14
MUC1,ENSG00000185499.16
STAT6,ENSG00000166888.11
MARCKS,ENSG00000277443.2
UBE2I,ENSG00000103275.19
KARS,ENSG00000065427.14
TSPAN13,ENSG00000106537.7
CCDC6,ENSG00000108091.10
ST13,ENSG00000100380.13
H1F0,ENSG00000189060.5
TXNDC5,ENSG00000239264.8
SELENOM,ENSG00000198832.10
BSPRY,ENSG00000119411.10
DYNC1H1,ENSG00000197102.10
EPN1,ENSG00000063245.14
GSPT1,ENSG00000103342.12
COA3,ENSG00000183978.7
TSTA3,ENSG00000104522.15
LMNB2,ENSG00000176619.12
IFI6,ENSG00000126709.14
ATXN10,ENSG00000130638.16
POLR2I,ENSG00000105258.8
NDUFA12,ENSG00000184752.12
MORF4L2,ENSG00000123562.16
NEDD8,ENSG00000129559.12
